Fish Code,Species,Season,Date Resolution,Year,Month,Day,Region,PFMA,Site Resolution,Longitude,Latitude,Final Length (cm),Project,Data flag,Amphipod,Barracudina,Copepod,Crangonidae,Crustacean larvae,Deep-sea smelt,Empty,Eulachon,Euphausiid,Gadiformes,Isopod,Lingcod,Midshipman,Myctophid,Mysid,Neotrypaea sp.,Northern anchovy,Octopus,Other,Pacific herring,Pacific jack mackerel,Pacific sand lance,Pacific saury,Pandalid,Pinnotherid,Planktonic shrimp,Pleuronectiformes,Poacher,Polychaete,Prowfish,Rockfish,Sablefish,Salmon,Sculpin,Squid,Surf smelt,Surfperch,Threespine stickleback,Tubesnout,Unidentified material,TotalWeight,TotalProp
17079,Chinook,Summer,exact date,2017,5,6,Salish Sea,18,creel site,-123.29634026,48.69935595,70,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3534,1
17080,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.3251722,48.60512611,64.5,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6358,1
17081,Chinook,Summer,exact date,2017,5,6,Salish Sea,18,creel site,-123.37087599,48.69080521,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4014,1
17082,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.34747769,48.65437901,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42662226042114315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5733777395788568,3.7232,1
17084,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.26579197,48.60196503,72,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1011,1
17085,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,PFMA or PFMA subarea,-123.26579197,48.60196503,71,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7428768767560535,0,0.2571231232439464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.912700000000001,1
17086,Chinook,Summer,exact date,2017,5,6,Salish Sea,18,creel site,-123.29634026,48.69935595,77,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.6285,1
17087,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.3251722,48.60512611,93,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17088,Chinook,Summer,exact date,2017,5,6,Salish Sea,18,creel site,-123.26925,48.738925,68.5,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6299,1
17089,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.26579197,48.60196503,62,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17090,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.26579197,48.60196503,76,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5828,1
17091,Chinook,Summer,exact date,2017,5,6,Salish Sea,18,creel site,-123.37087599,48.69080521,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7538069952165708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24619300478342915,2.2787,1
17092,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,PFMA or PFMA subarea,-123.26579197,48.60196503,68,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17093,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.3251722,48.60512611,71,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8717,1
17094,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.47214639,48.62582935,63,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17095,Chinook,Summer,exact date,2017,5,6,Salish Sea,18,creel site,-123.42460642,48.73400689,71.5,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8618806199973852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1381193800026148,6.8839,1
17096,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.38107694,48.59885812,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.2196,1
17097,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.34747769,48.65437901,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17098,Chinook,Summer,exact date,2017,5,6,Salish Sea,18,creel site,-123.42460642,48.73400689,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17099,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.47214639,48.62582935,75,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6689,1
17100,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.28508542,48.63529652,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5477,1
17101,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.34747769,48.65437901,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17102,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.28508542,48.63529652,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9114282715919824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08857172840801762,6.6703,1
17103,Chinook,Summer,exact date,2017,5,28,Salish Sea,19,creel site,-123.28135631,48.41693622,66,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.466,1
17104,Chinook,Summer,exact date,2017,5,7,Salish Sea,19,creel site,-123.26450356,48.45576417,70,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059247623238535774,0,0,0,0,0.9407523767614642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.630199999999995,1
17105,Chinook,Summer,exact date,2017,6,25,Salish Sea,15,creel site,-124.8646638,49.96141606,70,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9391,1
17106,Chinook,Summer,exact date,2017,5,31,Salish Sea,19,creel site,-123.28135631,48.41693622,58.5,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7162,1
17107,Chinook,Summer,exact date,2017,6,25,Salish Sea,15,creel site,-124.8646638,49.96141606,68,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17110,Chinook,Summer,exact date,2017,4,21,Salish Sea,29,creel site,-123.53889761,49.3813018,65,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4945,1
17111,Chinook,Summer,exact date,2017,6,24,Salish Sea,15,creel site,-124.75857462,49.95313305,68,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.53829999999999,1
17112,Chinook,Summer,exact date,2017,6,24,Salish Sea,15,creel site,-124.75857462,49.95313305,62,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.037799999999997,1
17113,Chinook,Summer,exact date,2017,6,23,Salish Sea,15,creel site,-124.75857462,49.95313305,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.8938,1
17114,Chinook,Summer,exact date,2017,6,23,Salish Sea,15,creel site,-124.75857462,49.95313305,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.3365,1
17115,Chinook,Summer,exact date,2017,6,23,Salish Sea,15,creel site,-124.75857462,49.95313305,,Angler,Keep for FO: yes; Keep for Proportion: yes; Keep for Fullness: no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0982286453354327,0,0,0,0,0,0,0,0,0,0,0,0,0.9017713546645673,0,0,0,0,0,0,0,8.8915,1
17116,Chinook,Summer,exact date,2017,6,23,Salish Sea,15,creel site,-124.75857462,49.95313305,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4664,1
17117,Chinook,Summer,exact date,2017,6,23,Salish Sea,15,creel site,-124.75857462,49.95313305,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0.8185281271551016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18147187284489838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0450999999999997,1
17118,Chinook,Summer,exact date,2017,6,23,Salish Sea,15,creel site,-124.75857462,49.95313305,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.9132,1
17119,Chinook,Summer,exact date,2017,6,23,Salish Sea,15,creel site,-124.75857462,49.95313305,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1415,1
17120,Chinook,Summer,exact date,2017,6,29,Salish Sea,19,creel site,-123.26450356,48.45576417,68,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030977041256689108,0,0.9690229587433109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.172,1
17121,Chinook,Summer,exact date,2017,7,7,Salish Sea,19,creel site,-123.28135631,48.41693622,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4288878104733754,0,0,0,0.05701680857634446,0,0,0,0,0,0,0,0,0.3102924956985927,0,0,0,0,0.20380288525168747,11.3335,1
17124,Chinook,Summer,exact date,2017,7,8,Salish Sea,20,creel site,-123.54921767,48.33640251,65,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1986,1
17125,Chinook,Summer,exact date,2017,7,8,Salish Sea,20,creel site,-123.54921767,48.33640251,59,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5851,1
17126,Chinook,Summer,exact date,2017,7,8,Salish Sea,20,creel site,-123.57556524,48.31121003,62,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7985569985569985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20144300144300142,9.355500000000001,0.9999999999999999
17127,Chinook,Summer,exact date,2017,7,8,Salish Sea,19,creel site,-123.52318754,48.34380969,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3117,1
17128,Chinook,Summer,exact date,2017,7,8,Salish Sea,20,creel site,-123.54921767,48.33640251,52,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8978,1
17130,Chinook,Summer,exact date,2017,7,8,Salish Sea,20,creel site,-123.54921767,48.33640251,67,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9207,1
17132,Chinook,Summer,exact date,2017,7,8,Salish Sea,20,creel site,-123.54921767,48.33640251,53,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17133,Chinook,Summer,exact date,2017,7,8,Salish Sea,20,creel site,-123.54921767,48.33640251,73,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.92410000000001,1
17135,Chinook,Summer,exact date,2017,7,16,Salish Sea,19,creel site,-123.28135631,48.41693622,71.5,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08787250384024577,0,0,0,0.6185023041474654,0,0,0,0,0,0,0,0,0.113678955453149,0,0,0,0,0.1799462365591398,13.02,1
17136,Chinook,Summer,exact date,2017,7,8,Salish Sea,19,creel site,-123.26450356,48.45576417,79,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6863235049142096,0,0.3136764950857905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4012,1
17137,Chinook,Summer,exact date,2017,4,28,Salish Sea,28,creel site,-123.26651665,49.3850259,70,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8987512528103584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10124874718964162,36.917,1
17138,Chinook,Summer,exact date,2017,6,3,Salish Sea,28,creel site,-123.4252867,49.35274094,73.66,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7502,1
17139,Chinook,Summer,exact date,2017,6,3,Salish Sea,28,creel site,-123.4252867,49.35274094,71.12,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7113,1
17140,Chinook,Summer,exact date,2017,7,23,Salish Sea,18,creel site,-123.37087599,48.69080521,73,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8051,1
17141,Chinook,Summer,exact date,2017,4,13,Salish Sea,29,creel site,-123.36910799,49.33074536,69,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0014,1
17142,Chinook,Summer,exact date,2017,4,12,Salish Sea,29,creel site,-123.36910799,49.33074536,68,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0.13535706440443937,0,0,0,0,0,0,0,0,0,0.8646429355955606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5599,1
17143,Chinook,Summer,exact date,2017,4,13,Salish Sea,29,creel site,-123.36910799,49.33074536,63,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.6649,1
17144,Chinook,Summer,exact date,2017,4,11,Salish Sea,29,creel site,-123.32452336,49.27278098,62,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39339999999999997,1
17145,Chinook,Summer,exact date,2017,4,13,Salish Sea,28,creel site,-123.4252867,49.35274094,67,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6922375178097356,0,0,0.3077624821902643,9.7559,1
17146,Chinook,Summer,exact date,2017,5,13,Salish Sea,29,creel site,-123.32452336,49.27278098,73.66,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,9.108068806748765e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961720985304602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03818793400733043,31.8399,1
17147,Chinook,Summer,exact date,2017,8,12,Salish Sea,20,creel site,-123.65587771,48.31142179,81,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8291224089924719,0,0,0,0.17087759100752808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7576,1
17148,Chinook,Summer,exact date,2017,8,12,Salish Sea,20,creel site,-123.82126426,48.35375476,70,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4979,1
17149,Chinook,Summer,exact date,2017,8,12,Salish Sea,20,PFMA or PFMA subarea,-123.70857285,48.33153436,70,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17150,Chinook,Summer,exact date,2017,8,12,Salish Sea,20,PFMA or PFMA subarea,-123.70857285,48.33153436,71,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7382,1
17151,Chinook,Summer,exact date,2017,8,12,Salish Sea,20,creel site,-123.9107825,48.37490799,83,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17152,Chinook,Summer,exact date,2017,8,12,Salish Sea,20,creel site,-123.65587771,48.31142179,67,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5043523590447978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49564764095520214,0,0,0,0,0,12.0854,1
17153,Chinook,Summer,exact date,2017,8,12,Salish Sea,20,creel site,-123.65587771,48.31142179,77,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17154,Chinook,Summer,exact date,2017,8,12,Salish Sea,20,creel site,-123.82126426,48.35375476,69,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17155,Chinook,Summer,exact date,2017,8,12,Salish Sea,20,creel site,-123.82126426,48.35375476,68,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17156,Chinook,Summer,exact date,2017,8,12,Salish Sea,19,creel site,-123.52318754,48.34380969,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
